record_id,human_gene,donor_species,donor_sci_name,condition,chromosome,sequence_similarity,expression_correlation,protein_interaction_degree,go_term_overlap,conservation_score,disease_gene_association_score,synteny_score,regulatory_region_similarity,num_shared_go_terms,species_regen_score,known_therapy_target,in_clinical_trial,primary_pathway,target_label
GB-DEA-BAB-6076,WHRN,baboon,Papio anubis,deafness,18,0.8941,0.1311,3,0.6987,0.7032,0.2065,0.4086,0.3562,1,0.94,0,0,TGF-beta,0
GB-ALS-PIG-4552,FUS,pig,Sus scrofa,als,18,0.78,0.8158,28,0.6829,0.6606,0.6634,0.8778,0.2783,3,0.84,0,0,Notch signaling,1
GB-RET-MOU-2124,GUCY2D,mouse,Mus musculus,retinal_degeneration,2,0.7977,0.083,2,0.1525,0.6155,0.2314,0.365,0.1557,0,0.85,0,0,Oxidative phosphorylation,0
GB-DEA-PIG-5561,ESPN,pig,Sus scrofa,deafness,5,0.7675,0.1952,2,0.756,0.6354,0.2389,0.2831,0.176,0,0.84,0,0,NF-kB,0
GB-HEA-MOU-2997,ACTC1,mouse,Mus musculus,heart_disease,6,0.8446,0.4033,2,0.1107,0.6806,0.1931,0.3531,0.0987,1,0.85,0,0,NF-kB,0
GB-RET-BAB-2345,RPE65,baboon,Papio anubis,retinal_degeneration,1,0.9721,0.6407,19,0.814,0.7353,0.8831,0.9325,0.4811,6,0.94,0,0,Hedgehog,1
GB-RET-SHE-2177,GUCY2D,sheep,Ovis aries,retinal_degeneration,5,0.7851,0.78,18,0.8372,0.6711,0.7319,0.2481,0.3764,6,0.82,0,0,Glycolysis,1
GB-DIA-HOR-7140,INS,horse,Equus caballus,diabetes,21,0.9285,0.4188,3,0.1866,0.7362,0.0958,0.0837,0.3811,3,0.8,0,0,FoxO signaling,0
GB-RET-BAB-2415,NRL,baboon,Papio anubis,retinal_degeneration,18,0.9207,0.4155,13,0.1995,0.6792,0.0469,0.375,0.2252,0,0.94,0,0,FoxO signaling,0
GB-MUS-PIG-1025,LAMA2,pig,Sus scrofa,muscular_dystrophy,11,0.7578,0.3049,7,0.1425,0.5844,0.0534,0.2021,0.0744,2,0.84,0,0,Hedgehog,0
GB-SPI-PIG-0132,IL6,pig,Sus scrofa,spinal_cord_injury,6,0.8057,0.3117,2,0.4185,0.6518,0.5603,0.2393,0.2069,2,0.84,0,0,Notch signaling,0
GB-RET-HOR-2697,CRX,horse,Equus caballus,retinal_degeneration,14,0.9165,0.439,3,0.0531,0.7777,0.4578,0.2025,0.3525,3,0.8,0,0,Oxidative phosphorylation,0
GB-DEA-PIG-5453,GJB6,pig,Sus scrofa,deafness,19,0.8252,0.8502,39,0.6508,0.6226,0.8387,0.8518,0.3575,3,0.84,0,0,Wnt signaling,1
GB-PAR-PIG-3658,ATP13A2,pig,Sus scrofa,parkinsons,7,0.7771,0.1475,2,0.1116,0.6262,0.2955,0.2497,0.2474,1,0.84,0,0,cAMP signaling,0
GB-HEA-HOR-3548,LMNA,horse,Equus caballus,heart_disease,11,0.8502,0.2269,4,0.3917,0.6706,0.0924,0.5181,0.0842,0,0.8,0,0,cAMP signaling,0
GB-PAR-HOR-4482,FBXO7,horse,Equus caballus,parkinsons,4,0.7747,0.2945,3,0.1381,0.6439,0.1744,0.2123,0.2898,1,0.8,0,0,FoxO signaling,0
GB-PAR-SHE-4050,ATP13A2,sheep,Ovis aries,parkinsons,17,0.7818,0.2401,10,0.0805,0.6392,0.2316,0.4423,0.5138,0,0.82,0,0,NF-kB,0
GB-HEA-SHE-3128,MYBPC3,sheep,Ovis aries,heart_disease,22,0.99,0.6558,33,0.4541,0.8205,0.6795,0.6856,0.2081,2,0.82,1,0,PI3K-Akt,1
GB-ALS-BAB-5118,FUS,baboon,Papio anubis,als,20,0.99,0.8351,28,0.5201,0.815,0.5535,0.4284,0.7813,6,0.94,1,0,Notch signaling,1
GB-PAR-HOR-4378,TMEM230,horse,Equus caballus,parkinsons,Y,0.7624,0.1792,3,0.3493,0.6872,0.634,0.6616,0.2814,1,0.8,0,0,cAMP signaling,0
GB-HEA-MOU-2890,CASQ2,mouse,Mus musculus,heart_disease,7,0.8027,0.7649,19,0.6516,0.6018,0.8146,0.7357,0.6855,4,0.85,0,0,Oxidative phosphorylation,1
GB-RET-HOR-2699,PRPH2,horse,Equus caballus,retinal_degeneration,1,0.8826,0.1546,8,0.0871,0.7376,0.1149,0.3084,0.2349,2,0.8,0,0,NF-kB,0
GB-PAR-SHE-4075,GBA,sheep,Ovis aries,parkinsons,9,0.8579,0.2751,2,0.4992,0.6574,0.5245,0.6005,0.0902,3,0.82,0,0,Calcium signaling,0
GB-MUS-PIG-1041,DOK7,pig,Sus scrofa,muscular_dystrophy,20,0.8146,0.2195,10,0.2154,0.6429,0.0879,0.624,0.4347,3,0.84,0,0,PI3K-Akt,0
GB-DEA-SHE-5865,ACTG1,sheep,Ovis aries,deafness,19,0.7979,0.1373,7,0.537,0.5513,0.1072,0.4019,0.5114,0,0.82,0,0,mTOR,0
GB-DEA-HOR-6256,SLC26A4,horse,Equus caballus,deafness,4,0.9033,0.1134,3,0.0904,0.7352,0.1693,0.417,0.226,1,0.8,0,0,PI3K-Akt,0
GB-RET-BAB-2418,NRL,baboon,Papio anubis,retinal_degeneration,13,0.8872,0.1509,4,0.5713,0.6734,0.3067,0.1656,0.1646,0,0.94,0,0,Calcium signaling,0
GB-DEA-BAB-6004,GJB2,baboon,Papio anubis,deafness,22,0.9331,0.1822,7,0.2543,0.7477,0.4963,0.1144,0.2684,0,0.94,0,0,Notch signaling,0
GB-SPI-SHE-0511,NOGO,sheep,Ovis aries,spinal_cord_injury,16,0.953,0.4107,3,0.2517,0.7509,0.2938,0.0965,0.1352,0,0.82,0,0,mTOR,0
GB-ALS-SHE-4988,CHCHD10,sheep,Ovis aries,als,Y,0.8294,0.3757,2,0.3052,0.6756,0.1608,0.1076,0.2349,3,0.82,0,0,JAK-STAT,0
GB-RET-BAB-2510,CEP290,baboon,Papio anubis,retinal_degeneration,16,0.99,0.2756,5,0.4491,0.7547,0.3367,0.2464,0.15,3,0.94,0,0,Glycolysis,0
GB-RET-MOU-2118,ROM1,mouse,Mus musculus,retinal_degeneration,22,0.8569,0.2838,5,0.6715,0.6552,0.2812,0.4038,0.3426,2,0.85,0,0,TGF-beta,0
GB-DEA-PIG-5458,SLC26A4,pig,Sus scrofa,deafness,20,0.8607,0.3488,4,0.1888,0.7398,0.0281,0.5212,0.4461,2,0.84,0,0,Autophagy,0
GB-SPI-SHE-0435,NGF,sheep,Ovis aries,spinal_cord_injury,5,0.8679,0.99,11,0.6936,0.6689,0.9848,0.741,0.3139,3,0.82,0,0,cAMP signaling,1
GB-ALS-SHE-5030,FUS,sheep,Ovis aries,als,1,0.8192,0.3111,2,0.1508,0.6769,0.0301,0.1859,0.1812,3,0.82,0,0,Calcium signaling,0
GB-MUS-HOR-1632,DOK7,horse,Equus caballus,muscular_dystrophy,4,0.8504,0.6533,17,0.6662,0.7728,0.34,0.5271,0.7747,3,0.8,0,0,Hippo signaling,1
GB-SPI-HOR-0764,STAT3,horse,Equus caballus,spinal_cord_injury,6,0.7777,0.6753,20,0.7038,0.6159,0.5522,0.8375,0.7169,6,0.8,0,0,FoxO signaling,1
GB-HEA-PIG-2855,TNNT2,pig,Sus scrofa,heart_disease,5,0.99,0.2093,4,0.4193,0.79,0.3861,0.4634,0.2803,3,0.84,0,0,PI3K-Akt,0
GB-PAR-HOR-4457,CHCHD2,horse,Equus caballus,parkinsons,6,0.7482,0.0827,4,0.2708,0.5574,0.6446,0.2891,0.2254,2,0.8,0,0,cAMP signaling,0
GB-SPI-SHE-0465,GAP43,sheep,Ovis aries,spinal_cord_injury,3,0.9271,0.381,2,0.0413,0.7109,0.1388,0.4163,0.2493,1,0.82,0,0,Apoptosis,0
GB-RET-MOU-2131,ABCA4,mouse,Mus musculus,retinal_degeneration,7,0.861,0.1918,4,0.2578,0.6572,0.2599,0.2183,0.4458,1,0.85,0,0,Notch signaling,0
GB-MUS-BAB-1488,SGCA,baboon,Papio anubis,muscular_dystrophy,11,0.8931,0.6723,21,0.8965,0.7109,0.7847,0.9216,0.6278,5,0.94,0,0,cAMP signaling,1
GB-ALS-BAB-5080,UBQLN2,baboon,Papio anubis,als,18,0.99,0.99,18,0.7824,0.8232,0.6548,0.8254,0.8681,7,0.94,1,1,Wnt signaling,1
GB-MUS-SHE-1302,COLQ,sheep,Ovis aries,muscular_dystrophy,17,0.8988,0.64,24,0.9094,0.7041,0.8254,0.5174,0.572,7,0.82,0,0,Autophagy,1
GB-MUS-HOR-1683,LARGE1,horse,Equus caballus,muscular_dystrophy,17,0.8385,0.99,34,0.5483,0.6694,0.748,0.9462,0.6481,6,0.8,1,1,TGF-beta,1
GB-HEA-HOR-3534,KCNQ1,horse,Equus caballus,heart_disease,12,0.7628,0.4165,2,0.5138,0.5873,0.1363,0.1075,0.3811,2,0.8,0,0,Hippo signaling,0
GB-RET-MOU-2127,RHO,mouse,Mus musculus,retinal_degeneration,3,0.9077,0.2038,9,0.3173,0.7137,0.2248,0.4041,0.4664,0,0.85,0,0,cAMP signaling,0
GB-MUS-HOR-1652,COLQ,horse,Equus caballus,muscular_dystrophy,4,0.9183,0.8042,21,0.5842,0.7732,0.7076,0.6127,0.1927,7,0.8,0,0,TGF-beta,1
GB-DEA-BAB-6115,WHRN,baboon,Papio anubis,deafness,6,0.8725,0.1195,7,0.3434,0.7299,0.1912,0.2705,0.2902,1,0.94,0,0,Notch signaling,0
GB-DIA-BAB-6972,PDX1,baboon,Papio anubis,diabetes,11,0.927,0.3765,15,0.7479,0.8271,0.1708,0.2288,0.3255,1,0.94,0,0,mTOR,0
GB-MUS-PIG-1034,LARGE1,pig,Sus scrofa,muscular_dystrophy,9,0.7965,0.2564,1,0.2269,0.6492,0.0857,0.4334,0.1383,0,0.84,0,0,Wnt signaling,0
GB-DIA-SHE-6809,ADIPOQ,sheep,Ovis aries,diabetes,Y,0.8314,0.3821,4,0.142,0.6642,0.2229,0.8233,0.0625,3,0.82,0,0,Hippo signaling,0
GB-ALS-PIG-4508,DCTN1,pig,Sus scrofa,als,21,0.8536,0.8832,18,0.9646,0.7471,0.8921,0.705,0.371,5,0.84,0,0,Glycolysis,1
GB-PAR-BAB-4189,FBXO7,baboon,Papio anubis,parkinsons,3,0.99,0.9848,21,0.7132,0.7986,0.6787,0.5648,0.6482,2,0.94,1,1,Hedgehog,1
GB-SPI-PIG-0101,GAP43,pig,Sus scrofa,spinal_cord_injury,11,0.7963,0.1941,7,0.6038,0.6245,0.1699,0.5856,0.1934,1,0.84,0,0,Wnt signaling,0
GB-DEA-MOU-5594,ESPN,mouse,Mus musculus,deafness,19,0.9455,0.9463,18,0.8343,0.74,0.9497,0.6694,0.7765,4,0.85,0,0,Glycolysis,1
GB-RET-PIG-1864,RPE65,pig,Sus scrofa,retinal_degeneration,14,0.99,0.9329,15,0.9504,0.8139,0.8539,0.6107,0.4821,5,0.84,0,0,Autophagy,1
GB-DEA-BAB-6118,CDH23,baboon,Papio anubis,deafness,8,0.8762,0.1479,2,0.0215,0.6419,0.4075,0.1714,0.306,3,0.94,0,0,TGF-beta,0
GB-PAR-PIG-3680,FBXO7,pig,Sus scrofa,parkinsons,7,0.8541,0.3529,5,0.4073,0.7305,0.0964,0.4675,0.155,3,0.84,0,0,PI3K-Akt,0
GB-RET-BAB-2488,AIPL1,baboon,Papio anubis,retinal_degeneration,20,0.829,0.1997,2,0.5141,0.6526,0.1564,0.3372,0.5523,0,0.94,0,0,Notch signaling,0
GB-RET-BAB-2509,RPGRIP1,baboon,Papio anubis,retinal_degeneration,9,0.883,0.3022,2,0.2454,0.6979,0.1346,0.4303,0.4597,1,0.94,0,0,Wnt signaling,0
GB-ALS-BAB-5171,TBK1,baboon,Papio anubis,als,21,0.99,0.4061,4,0.3731,0.8122,0.1724,0.1114,0.4553,0,0.94,0,0,Calcium signaling,0
GB-HEA-MOU-3032,CASQ2,mouse,Mus musculus,heart_disease,14,0.8328,0.4121,4,0.1069,0.7374,0.3553,0.3724,0.3559,3,0.85,0,0,Notch signaling,0
GB-DEA-SHE-5860,STRC,sheep,Ovis aries,deafness,3,0.8172,0.3388,5,0.4391,0.6143,0.1631,0.5621,0.2647,1,0.82,0,0,Hippo signaling,0
GB-SPI-MOU-0239,GAP43,mouse,Mus musculus,spinal_cord_injury,1,0.8156,0.0947,10,0.5876,0.6215,0.4155,0.4819,0.2769,0,0.85,0,0,Wnt signaling,0
GB-HEA-MOU-2992,CASQ2,mouse,Mus musculus,heart_disease,20,0.845,0.1161,4,0.2051,0.6293,0.2514,0.2165,0.1548,2,0.85,0,0,TGF-beta,0
GB-DIA-PIG-6394,HNF4A,pig,Sus scrofa,diabetes,17,0.9843,0.1414,2,0.4893,0.87,0.416,0.497,0.1713,2,0.84,0,0,MAPK signaling,0
GB-ALS-BAB-5108,OPTN,baboon,Papio anubis,als,19,0.99,0.8183,16,0.7279,0.7814,0.7839,0.3402,0.7193,7,0.94,1,1,Autophagy,1
GB-SPI-HOR-0736,TNF,horse,Equus caballus,spinal_cord_injury,X,0.7474,0.8823,10,0.5668,0.5381,0.7337,0.5686,0.4777,2,0.8,0,0,Notch signaling,1
GB-PAR-SHE-4053,DNAJC13,sheep,Ovis aries,parkinsons,10,0.8442,0.3488,3,0.3294,0.6988,0.3195,0.2431,0.1743,2,0.82,0,0,Apoptosis,0
GB-DIA-MOU-6658,PDX1,mouse,Mus musculus,diabetes,21,0.99,0.1687,1,0.2677,0.7405,0.1342,0.3206,0.223,3,0.85,0,0,Apoptosis,0
GB-SPI-PIG-0079,NT3,pig,Sus scrofa,spinal_cord_injury,9,0.8489,0.1189,1,0.0292,0.6818,0.3144,0.7475,0.2304,2,0.84,0,0,Calcium signaling,0
GB-DEA-PIG-5481,ESPN,pig,Sus scrofa,deafness,6,0.763,0.0849,1,0.394,0.622,0.2788,0.2432,0.3783,1,0.84,0,0,cAMP signaling,0
GB-ALS-BAB-5198,TARDBP,baboon,Papio anubis,als,11,0.99,0.2162,1,0.6829,0.7501,0.3228,0.4434,0.1325,3,0.94,0,0,Autophagy,0
GB-DIA-BAB-6912,HNF1A,baboon,Papio anubis,diabetes,13,0.953,0.1049,8,0.6551,0.7696,0.4001,0.2903,0.3611,1,0.94,0,0,PI3K-Akt,0
GB-DEA-BAB-6056,WHRN,baboon,Papio anubis,deafness,14,0.935,0.2147,4,0.4093,0.7855,0.0407,0.3077,0.3796,1,0.94,0,0,PI3K-Akt,0
GB-MUS-MOU-1174,FKTN,mouse,Mus musculus,muscular_dystrophy,3,0.9503,0.2405,2,0.1405,0.7087,0.6383,0.1983,0.0805,0,0.85,0,0,Apoptosis,0
GB-HEA-PIG-2865,KCNQ1,pig,Sus scrofa,heart_disease,17,0.9585,0.1385,3,0.0776,0.7899,0.3349,0.2958,0.2034,0,0.84,0,0,Apoptosis,0
GB-MUS-MOU-1195,COLQ,mouse,Mus musculus,muscular_dystrophy,12,0.9519,0.1336,2,0.2286,0.789,0.1623,0.3665,0.1696,2,0.85,0,0,TGF-beta,0
GB-PAR-SHE-4060,TMEM230,sheep,Ovis aries,parkinsons,8,0.8245,0.3385,4,0.3938,0.653,0.1946,0.6349,0.084,3,0.82,0,0,TGF-beta,0
GB-SPI-HOR-0828,LINGO1,horse,Equus caballus,spinal_cord_injury,1,0.7618,0.2063,2,0.2995,0.6179,0.3869,0.1383,0.1186,0,0.8,0,0,MAPK signaling,0
GB-DIA-MOU-6497,PPARG,mouse,Mus musculus,diabetes,13,0.99,0.6329,15,0.6323,0.7215,0.4107,0.3363,0.7431,4,0.85,1,0,Wnt signaling,1
GB-RET-BAB-2484,CNGB3,baboon,Papio anubis,retinal_degeneration,13,0.8788,0.2477,4,0.2303,0.6539,0.25,0.4268,0.2515,2,0.94,0,0,Hedgehog,0
GB-HEA-SHE-3217,MYL2,sheep,Ovis aries,heart_disease,13,0.8771,0.3718,3,0.2199,0.7316,0.4102,0.3467,0.3518,1,0.82,0,0,cAMP signaling,0
GB-DIA-PIG-6338,HNF4A,pig,Sus scrofa,diabetes,4,0.9012,0.7289,27,0.7773,0.6869,0.5269,0.6652,0.1724,3,0.84,1,0,JAK-STAT,1
GB-PAR-MOU-3852,CHCHD2,mouse,Mus musculus,parkinsons,12,0.99,0.6987,13,0.7751,0.7767,0.876,0.5794,0.8472,6,0.85,0,0,NF-kB,1
GB-SPI-SHE-0468,OMG,sheep,Ovis aries,spinal_cord_injury,1,0.9281,0.3485,1,0.1928,0.8278,0.2691,0.8478,0.3699,0,0.82,0,0,Apoptosis,0
GB-DIA-BAB-7000,INSR,baboon,Papio anubis,diabetes,16,0.8476,0.1697,5,0.3242,0.7074,0.1286,0.1494,0.0831,2,0.94,0,0,Apoptosis,0
GB-PAR-MOU-3903,UCHL1,mouse,Mus musculus,parkinsons,9,0.9377,0.4437,5,0.0792,0.7473,0.1852,0.8574,0.141,1,0.85,0,0,Oxidative phosphorylation,0
GB-MUS-HOR-1703,COLQ,horse,Equus caballus,muscular_dystrophy,8,0.9116,0.97,17,0.811,0.7153,0.94,0.6978,0.4939,7,0.8,0,0,NF-kB,1
GB-SPI-SHE-0472,OMG,sheep,Ovis aries,spinal_cord_injury,17,0.9276,0.2162,1,0.1631,0.7444,0.0838,0.2462,0.3658,1,0.82,0,0,Wnt signaling,0
GB-MUS-BAB-1511,DOK7,baboon,Papio anubis,muscular_dystrophy,6,0.9232,0.1513,2,0.3869,0.717,0.2323,0.4014,0.1819,0,0.94,0,0,TGF-beta,0
GB-DEA-SHE-5826,WHRN,sheep,Ovis aries,deafness,Y,0.7811,0.2837,3,0.2021,0.6388,0.2488,0.1435,0.2258,0,0.82,0,0,PI3K-Akt,0
GB-RET-SHE-2264,CNGA3,sheep,Ovis aries,retinal_degeneration,6,0.777,0.2829,2,0.2847,0.6369,0.1796,0.4183,0.2255,2,0.82,0,0,NF-kB,0
GB-ALS-BAB-5186,DCTN1,baboon,Papio anubis,als,21,0.99,0.4547,5,0.4262,0.7384,0.1802,0.2235,0.0796,2,0.94,0,0,PI3K-Akt,0
GB-DIA-PIG-6372,INSR,pig,Sus scrofa,diabetes,12,0.9886,0.99,18,0.6311,0.7429,0.8973,0.7192,0.3618,7,0.84,1,1,Notch signaling,1
GB-ALS-SHE-4930,ANG,sheep,Ovis aries,als,4,0.8567,0.347,3,0.2855,0.6961,0.424,0.0785,0.3849,1,0.82,0,0,PI3K-Akt,0
GB-DEA-SHE-5773,ESPN,sheep,Ovis aries,deafness,8,0.7979,0.5543,15,0.7866,0.7427,0.7278,0.9331,0.7397,5,0.82,0,0,DNA repair,1
GB-DIA-MOU-6540,GCK,mouse,Mus musculus,diabetes,3,0.9348,0.9749,28,0.7138,0.7545,0.4831,0.3504,0.5194,4,0.85,0,0,Calcium signaling,1
GB-ALS-SHE-5015,VCP,sheep,Ovis aries,als,10,0.8265,0.1661,3,0.0338,0.6949,0.1559,0.629,0.3087,1,0.82,0,0,FoxO signaling,0
GB-MUS-MOU-1128,ANO5,mouse,Mus musculus,muscular_dystrophy,1,0.984,0.8704,12,0.9482,0.7611,0.9161,0.6467,0.7655,6,0.85,0,0,Apoptosis,1
GB-SPI-PIG-0087,GAP43,pig,Sus scrofa,spinal_cord_injury,10,0.8177,0.1061,3,0.308,0.6847,0.1105,0.2215,0.0596,0,0.84,0,0,Glycolysis,0
GB-RET-HOR-2638,RHO,horse,Equus caballus,retinal_degeneration,19,0.9538,0.4134,2,0.6403,0.6889,0.4505,0.4985,0.3752,3,0.8,0,0,JAK-STAT,0
GB-HEA-BAB-3404,ACTC1,baboon,Papio anubis,heart_disease,Y,0.99,0.3564,3,0.4332,0.7715,0.0843,0.6505,0.1696,1,0.94,0,0,Glycolysis,0
GB-HEA-SHE-3164,LMNA,sheep,Ovis aries,heart_disease,13,0.903,0.3028,5,0.2986,0.729,0.4821,0.2101,0.2134,3,0.82,0,0,Oxidative phosphorylation,0
GB-RET-MOU-2157,RHO,mouse,Mus musculus,retinal_degeneration,1,0.7737,0.0959,6,0.2866,0.6155,0.3421,0.6923,0.4274,3,0.85,0,0,PI3K-Akt,0
GB-SPI-PIG-0177,NT3,pig,Sus scrofa,spinal_cord_injury,Y,0.8528,0.3311,6,0.1182,0.6757,0.4749,0.6145,0.4528,3,0.84,0,0,cAMP signaling,0
GB-DIA-SHE-6726,HNF4A,sheep,Ovis aries,diabetes,3,0.7552,0.1339,2,0.4987,0.6129,0.0106,0.2892,0.2686,1,0.82,0,0,FoxO signaling,0
GB-DEA-MOU-5674,PCDH15,mouse,Mus musculus,deafness,1,0.9456,0.1108,3,0.1356,0.7859,0.04,0.5051,0.5936,3,0.85,0,0,Notch signaling,0
GB-PAR-BAB-4147,VPS35,baboon,Papio anubis,parkinsons,16,0.99,0.6843,35,0.3754,0.7755,0.9459,0.8115,0.3216,5,0.94,0,0,Notch signaling,1
GB-PAR-BAB-4303,GBA,baboon,Papio anubis,parkinsons,5,0.99,0.2341,3,0.3403,0.775,0.3858,0.321,0.118,3,0.94,0,0,Oxidative phosphorylation,0
GB-PAR-HOR-4398,EIF4G1,horse,Equus caballus,parkinsons,8,0.8364,0.2793,2,0.097,0.6627,0.2282,0.6574,0.1417,1,0.8,0,0,Oxidative phosphorylation,0
GB-SPI-SHE-0509,MAG,sheep,Ovis aries,spinal_cord_injury,1,0.9337,0.3386,4,0.1218,0.7194,0.2603,0.5845,0.2253,0,0.82,0,0,DNA repair,0
GB-ALS-BAB-5199,ANG,baboon,Papio anubis,als,7,0.99,0.4066,5,0.6206,0.7559,0.0791,0.1767,0.2544,1,0.94,0,0,Glycolysis,0
GB-HEA-HOR-3558,MYL2,horse,Equus caballus,heart_disease,3,0.7984,0.3138,2,0.4934,0.6594,0.3575,0.1963,0.4282,1,0.8,0,0,Hedgehog,0
GB-HEA-PIG-2707,SCN5A,pig,Sus scrofa,heart_disease,17,0.99,0.8522,24,0.6428,0.815,0.8219,0.824,0.4515,4,0.84,0,0,Apoptosis,1
GB-DIA-HOR-7087,LEPR,horse,Equus caballus,diabetes,19,0.8655,0.9191,18,0.5094,0.7324,0.5847,0.5818,0.6324,5,0.8,1,1,Wnt signaling,1
